rg	2017	8	9	12	0	0
rg	2017	8	9	12	5	0
rg	2017	8	9	12	10	0
rg	2017	8	9	12	15	0
rg	2017	8	9	12	20	0
rg	2017	8	9	12	25	0
rg	2017	8	9	12	30	0
rg	2017	8	9	12	35	0
rg	2017	8	9	12	40	0
rg	2017	8	9	12	45	0
rg	2017	8	9	12	50	0
rg	2017	8	9	12	55	0
rg	2017	8	9	13	0	0
rg	2017	8	9	13	5	0
rg	2017	8	9	13	10	0
rg	2017	8	9	13	15	0
rg	2017	8	9	13	20	0
rg	2017	8	9	13	25	0
rg	2017	8	9	13	30	0
rg	2017	8	9	13	35	0
rg	2017	8	9	13	40	0
rg	2017	8	9	13	45	0
rg	2017	8	9	13	50	0
rg	2017	8	9	13	55	0
rg	2017	8	9	14	0	0
rg	2017	8	9	14	5	0
rg	2017	8	9	14	10	0
rg	2017	8	9	14	15	0
rg	2017	8	9	14	20	0
rg	2017	8	9	14	25	0
rg	2017	8	9	14	30	0
rg	2017	8	9	14	35	0
rg	2017	8	9	14	40	0
rg	2017	8	9	14	45	0
rg	2017	8	9	14	50	0
rg	2017	8	9	14	55	0
rg	2017	8	9	15	0	0
rg	2017	8	9	15	5	0
rg	2017	8	9	15	10	0
rg	2017	8	9	15	15	0
rg	2017	8	9	15	20	0
rg	2017	8	9	15	25	0
rg	2017	8	9	15	30	0
rg	2017	8	9	15	35	0
rg	2017	8	9	15	40	0
rg	2017	8	9	15	45	0
rg	2017	8	9	15	50	0
rg	2017	8	9	15	55	0
rg	2017	8	9	16	0	0
rg	2017	8	9	16	5	0
rg	2017	8	9	16	10	0
rg	2017	8	9	16	15	0
rg	2017	8	9	16	20	0
rg	2017	8	9	16	25	0
rg	2017	8	9	16	30	0
rg	2017	8	9	16	35	0
rg	2017	8	9	16	40	0
rg	2017	8	9	16	45	0
rg	2017	8	9	16	50	0
rg	2017	8	9	16	55	0
rg	2017	8	9	17	0	0
rg	2017	8	9	17	5	0
rg	2017	8	9	17	10	0
rg	2017	8	9	17	15	0
rg	2017	8	9	17	20	0
rg	2017	8	9	17	25	0
rg	2017	8	9	17	30	0
rg	2017	8	9	17	35	0
rg	2017	8	9	17	40	0
rg	2017	8	9	17	45	0
rg	2017	8	9	17	50	0
rg	2017	8	9	17	55	0
rg	2017	8	9	18	0	0
rg	2017	8	9	18	5	0
rg	2017	8	9	18	10	0
rg	2017	8	9	18	15	0
rg	2017	8	9	18	20	0
rg	2017	8	9	18	25	0
rg	2017	8	9	18	30	0
rg	2017	8	9	18	35	0
rg	2017	8	9	18	40	0
rg	2017	8	9	18	45	0
